title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
Wakfu,TV Show,2008,TV-Y7,22,European,['FR'],3.0,tt1807824,8.1,1469.0
Katt Williams: The Pimp Chronicles Pt. 1,Movie,2006,,46,Comedy,['US'],,tt0865482,7.6,1780.0
Katt Williams: The Pimp Chronicles Pt. 1,Movie,2006,,46,Documentation,['US'],,tt0865482,7.6,1780.0
Initial D,Movie,2005,,107,Drama,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Action,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Crime,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Thriller,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Animation,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Comedy,"['HK', 'JP']",,tt0439630,6.3,8536.0
Initial D,Movie,2005,,107,Romance,"['HK', 'JP']",,tt0439630,6.3,8536.0
Comedian,Movie,2002,R,82,Comedy,['US'],,tt0328962,6.9,6948.0
Comedian,Movie,2002,R,82,Documentation,['US'],,tt0328962,6.9,6948.0
Delta Farce,Movie,2007,PG-13,90,Action,['US'],,tt0800003,3.6,11138.0
Delta Farce,Movie,2007,PG-13,90,Comedy,['US'],,tt0800003,3.6,11138.0
One Piece: Strong World,Movie,2009,PG-13,114,Fantasy,['JP'],,tt1485763,7.5,5382.0
One Piece: Strong World,Movie,2009,PG-13,114,Animation,['JP'],,tt1485763,7.5,5382.0
One Piece: Strong World,Movie,2009,PG-13,114,Action,['JP'],,tt1485763,7.5,5382.0
Christmas with the Kranks,Movie,2004,PG,99,Comedy,['US'],,tt0388419,5.4,49090.0
Christmas with the Kranks,Movie,2004,PG,99,Family,['US'],,tt0388419,5.4,49090.0
Dinosaur King,TV Show,2007,,21,Action,['JP'],2.0,tt1524993,5.6,720.0
Dinosaur King,TV Show,2007,,21,Scifi,['JP'],2.0,tt1524993,5.6,720.0
Dinosaur King,TV Show,2007,,21,Family,['JP'],2.0,tt1524993,5.6,720.0
Dinosaur King,TV Show,2007,,21,Western,['JP'],2.0,tt1524993,5.6,720.0
Dinosaur King,TV Show,2007,,21,Animation,['JP'],2.0,tt1524993,5.6,720.0
Love Happens,Movie,2009,PG-13,109,Drama,"['CA', 'GB', 'US']",,tt4809870,5.6,32837.0
Love Happens,Movie,2009,PG-13,109,Romance,"['CA', 'GB', 'US']",,tt4809870,5.6,32837.0
Vampire Knight,TV Show,2008,TV-14,25,Scifi,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Romance,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Animation,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Action,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Drama,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Fantasy,['JP'],2.0,tt1209393,7.3,5172.0
Vampire Knight,TV Show,2008,TV-14,25,Horror,['JP'],2.0,tt1209393,7.3,5172.0
Den-noh Coil,TV Show,2007,TV-Y7,25,Scifi,['JP'],1.0,tt1033796,7.9,863.0
Den-noh Coil,TV Show,2007,TV-Y7,25,Animation,['JP'],1.0,tt1033796,7.9,863.0
Den-noh Coil,TV Show,2007,TV-Y7,25,Comedy,['JP'],1.0,tt1033796,7.9,863.0
Den-noh Coil,TV Show,2007,TV-Y7,25,Drama,['JP'],1.0,tt1033796,7.9,863.0
Zig and Sharko,TV Show,2010,,9,Comedy,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,Fantasy,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,Romance,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,Action,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,Animation,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,Family,['FR'],3.0,tt2046005,6.8,644.0
Zig and Sharko,TV Show,2010,,9,European,['FR'],3.0,tt2046005,6.8,644.0
Even the Rain,Movie,2010,,104,Drama,"['ES', 'FR', 'MX']",,tt1422032,7.4,13446.0
Even the Rain,Movie,2010,,104,European,"['ES', 'FR', 'MX']",,tt1422032,7.4,13446.0
Even the Rain,Movie,2010,,104,History,"['ES', 'FR', 'MX']",,tt1422032,7.4,13446.0
Population 436,Movie,2006,R,88,Horror,['CA'],,,,
Population 436,Movie,2006,R,88,Thriller,['CA'],,,,
Kabhi Khushi Kabhie Gham,Movie,2001,G,210,Drama,['IN'],,tt0248126,7.4,48818.0
